"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor-model-10-4-2.nlogo"
"Figure 10.1.1"
"04/22/2025 02:25:05:338 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-19","19","-19","19"
"[run number]","investors-n","wealth-start","profit-mean","risk-of-failing-max","decision-time-horizon","sensing-radius","investors-color","businesses-color","failed-businesses-color","[step]","mean [wealth] of investors","standard-deviation [wealth] of investors"
"59","25","0","5000","0.1","5","5","25","105","45","50","447169.20708854566","302758.1480228989"
"65","25","0","5000","0.1","5","6","25","105","45","50","643939.0565101705","439068.2637958277"
"62","25","0","5000","0.1","5","6","25","105","45","50","582608.8618251032","416937.9189735213"
"64","25","0","5000","0.1","5","6","25","105","45","50","688501.4461298035","352316.75077420054"
"66","25","0","5000","0.1","5","6","25","105","45","50","689936.2221090047","310094.2706707997"
"63","25","0","5000","0.1","5","6","25","105","45","50","560532.6790518216","479009.8751965498"
"67","25","0","5000","0.1","5","6","25","105","45","50","752559.0064638578","430111.91887172346"
"69","25","0","5000","0.1","5","6","25","105","45","50","707917.991379519","354458.343112918"
"68","25","0","5000","0.1","5","6","25","105","45","50","488388.6654525261","348811.4369254864"
"70","25","0","5000","0.1","5","6","25","105","45","50","721866.1070640545","327661.59496802895"
"71","25","0","5000","0.1","5","7","25","105","45","50","556763.6633929702","326817.85170864523"
"72","25","0","5000","0.1","5","7","25","105","45","50","628609.4117442035","405765.02317136596"
"73","25","0","5000","0.1","5","7","25","105","45","50","559427.8511360347","352636.1469596819"
"74","25","0","5000","0.1","5","7","25","105","45","50","660217.2060838477","412404.77177106024"
"75","25","0","5000","0.1","5","7","25","105","45","50","655221.516947133","412716.12301060295"
"76","25","0","5000","0.1","5","7","25","105","45","50","728084.1288964087","438079.54011776886"
"77","25","0","5000","0.1","5","7","25","105","45","50","631557.3735680836","364422.50959572487"
"78","25","0","5000","0.1","5","7","25","105","45","50","605161.6441083852","392386.5513400867"
"80","25","0","5000","0.1","5","7","25","105","45","50","622732.9775026686","228914.62890184013"
"79","25","0","5000","0.1","5","7","25","105","45","50","801825.1167304985","391251.2610570549"
"81","25","0","5000","0.1","5","8","25","105","45","50","678193.5577578772","371813.45945958217"
"85","25","0","5000","0.1","5","8","25","105","45","50","705796.1590222777","436836.6973264486"
"84","25","0","5000","0.1","5","8","25","105","45","50","517996.69127219333","407500.6757925398"
"82","25","0","5000","0.1","5","8","25","105","45","50","645597.3186134788","438331.2054836257"
"83","25","0","5000","0.1","5","8","25","105","45","50","615601.6970251208","363652.23535974807"
"86","25","0","5000","0.1","5","8","25","105","45","50","616042.2878372823","461097.9401897695"
