"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor-model-11-5.nlogo"
"Figure 12.2"
"04/21/2025 23:45:31:464 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-19","19","-19","19"
"[run number]","investors-n","wealth-start","profit-mean","risk-of-failing-max","decision-time-horizon","investors-color","businesses-color-positive","businesses-color-negative","failed-businesses-color","[step]","mean [risk-of-failing] of turtles-on patches"
"6","25","0","5000","0.1","1","25","105","15","9","13","0.03673453292556908"
"3","25","0","5000","0.1","1","25","105","15","9","9","0.03934922540124191"
"2","25","0","5000","0.1","1","25","105","15","9","7","0.041574876515543084"
"4","25","0","5000","0.1","1","25","105","15","9","6","0.04324302870755013"
"9","25","0","5000","0.1","1","25","105","15","9","12","0.029871536305450266"
"6","25","0","5000","0.1","1","25","105","15","9","14","0.03421995690659162"
"1","25","0","5000","0.1","1","25","105","15","9","8","0.04212094215271461"
"7","25","0","5000","0.1","1","25","105","15","9","8","0.04117739612660402"
"8","25","0","5000","0.1","1","25","105","15","9","8","0.040933730116777124"
"6","25","0","5000","0.1","1","25","105","15","9","15","0.032378082262881025"
"5","25","0","5000","0.1","1","25","105","15","9","11","0.0379146242672828"
"9","25","0","5000","0.1","1","25","105","15","9","13","0.029679024012742358"
"3","25","0","5000","0.1","1","25","105","15","9","10","0.03707509715113561"
"6","25","0","5000","0.1","1","25","105","15","9","16","0.032378082262881025"
"1","25","0","5000","0.1","1","25","105","15","9","9","0.04124399727683623"
"2","25","0","5000","0.1","1","25","105","15","9","8","0.03922617123504551"
"7","25","0","5000","0.1","1","25","105","15","9","9","0.039832042802968134"
"5","25","0","5000","0.1","1","25","105","15","9","12","0.0341221299625604"
"9","25","0","5000","0.1","1","25","105","15","9","14","0.028064926781162472"
"8","25","0","5000","0.1","1","25","105","15","9","9","0.03893156948819849"
"4","25","0","5000","0.1","1","25","105","15","9","7","0.0430087102031834"
"3","25","0","5000","0.1","1","25","105","15","9","11","0.030869310628403066"
"7","25","0","5000","0.1","1","25","105","15","9","10","0.03444275767846937"
"9","25","0","5000","0.1","1","25","105","15","9","15","0.022613868031764208"
"6","25","0","5000","0.1","1","25","105","15","9","17","0.02930653400406559"
"1","25","0","5000","0.1","1","25","105","15","9","10","0.036581255170629316"
"2","25","0","5000","0.1","1","25","105","15","9","9","0.0379449270203067"
"5","25","0","5000","0.1","1","25","105","15","9","13","0.035943570210089024"
"7","25","0","5000","0.1","1","25","105","15","9","11","0.034263005075743126"
"9","25","0","5000","0.1","1","25","105","15","9","16","0.0252363913741715"
"8","25","0","5000","0.1","1","25","105","15","9","10","0.041086412466495484"
"5","25","0","5000","0.1","1","25","105","15","9","14","0.038078853132201294"
"9","25","0","5000","0.1","1","25","105","15","9","17","0.024386947154407576"
"4","25","0","5000","0.1","1","25","105","15","9","8","0.041232867472526295"
"3","25","0","5000","0.1","1","25","105","15","9","12","0.03620779876362404"
"6","25","0","5000","0.1","1","25","105","15","9","18","0.027661529186099546"
"1","25","0","5000","0.1","1","25","105","15","9","11","0.034065289862606374"
"9","25","0","5000","0.1","1","25","105","15","9","18","0.021865454076730354"
"2","25","0","5000","0.1","1","25","105","15","9","10","0.03890242665233432"
"5","25","0","5000","0.1","1","25","105","15","9","15","0.03536367911972097"
"7","25","0","5000","0.1","1","25","105","15","9","12","0.03197712686731924"
"9","25","0","5000","0.1","1","25","105","15","9","19","0.02209210138608761"
"8","25","0","5000","0.1","1","25","105","15","9","11","0.041783468394478857"
"7","25","0","5000","0.1","1","25","105","15","9","13","0.03063075266348414"
"9","25","0","5000","0.1","1","25","105","15","9","20","0.022092101386087606"
"2","25","0","5000","0.1","1","25","105","15","9","11","0.03642773822234759"
"6","25","0","5000","0.1","1","25","105","15","9","19","0.028352999372156254"
"9","25","0","5000","0.1","1","25","105","15","9","21","0.02209210138608761"
"7","25","0","5000","0.1","1","25","105","15","9","14","0.032543844161647136"
"8","25","0","5000","0.1","1","25","105","15","9","12","0.03975127853247337"
"6","25","0","5000","0.1","1","25","105","15","9","20","0.027825890440398224"
"2","25","0","5000","0.1","1","25","105","15","9","12","0.038351920495960035"
"3","25","0","5000","0.1","1","25","105","15","9","13","0.0323464722803374"
"5","25","0","5000","0.1","1","25","105","15","9","16","0.03390785528170056"
"8","25","0","5000","0.1","1","25","105","15","9","13","0.041759181714643406"
"1","25","0","5000","0.1","1","25","105","15","9","12","0.03167334917989615"
"7","25","0","5000","0.1","1","25","105","15","9","15","0.02896943092407653"
"6","25","0","5000","0.1","1","25","105","15","9","21","0.02687350073453179"
"4","25","0","5000","0.1","1","25","105","15","9","9","0.03750162638960618"
"9","25","0","5000","0.1","1","25","105","15","9","22","0.02604975171323824"
"3","25","0","5000","0.1","1","25","105","15","9","14","0.029468403576297254"
"6","25","0","5000","0.1","1","25","105","15","9","22","0.029795183824895183"
"5","25","0","5000","0.1","1","25","105","15","9","17","0.03310108281284597"
"1","25","0","5000","0.1","1","25","105","15","9","13","0.028948561399468296"
"7","25","0","5000","0.1","1","25","105","15","9","16","0.028517762216274705"
"9","25","0","5000","0.1","1","25","105","15","9","23","0.02581093904038123"
"6","25","0","5000","0.1","1","25","105","15","9","23","0.029005412476471943"
"4","25","0","5000","0.1","1","25","105","15","9","10","0.0396286042017826"
"3","25","0","5000","0.1","1","25","105","15","9","15","0.03313288297640371"
"2","25","0","5000","0.1","1","25","105","15","9","13","0.04101770479239252"
"6","25","0","5000","0.1","1","25","105","15","9","24","0.030929113670647494"
"9","25","0","5000","0.1","1","25","105","15","9","24","0.02657559295961206"
"7","25","0","5000","0.1","1","25","105","15","9","17","0.02874753533607929"
"6","25","0","5000","0.1","1","25","105","15","9","25","0.026923328413833592"
"1","25","0","5000","0.1","1","25","105","15","9","14","0.030384580942749463"
"4","25","0","5000","0.1","1","25","105","15","9","11","0.03517728718910085"
"2","25","0","5000","0.1","1","25","105","15","9","14","0.03870930262059931"
"6","25","0","5000","0.1","1","25","105","15","9","26","0.026209556252386152"
"9","25","0","5000","0.1","1","25","105","15","9","25","0.02442541855034591"
"7","25","0","5000","0.1","1","25","105","15","9","18","0.028873914594720298"
"6","25","0","5000","0.1","1","25","105","15","9","27","0.026209556252386152"
"8","25","0","5000","0.1","1","25","105","15","9","14","0.03903524920680395"
"4","25","0","5000","0.1","1","25","105","15","9","12","0.03776349315867411"
"1","25","0","5000","0.1","1","25","105","15","9","15","0.029897611308345312"
"3","25","0","5000","0.1","1","25","105","15","9","16","0.031876541049192984"
"5","25","0","5000","0.1","1","25","105","15","9","18","0.031637403116106015"
"6","25","0","5000","0.1","1","25","105","15","9","28","0.02670494897712756"
"7","25","0","5000","0.1","1","25","105","15","9","19","0.031679844234953014"
"9","25","0","5000","0.1","1","25","105","15","9","26","0.024425418550345905"
"4","25","0","5000","0.1","1","25","105","15","9","13","0.03873883167901843"
"6","25","0","5000","0.1","1","25","105","15","9","29","0.024999638538615965"
"8","25","0","5000","0.1","1","25","105","15","9","15","0.03714051566936696"
"2","25","0","5000","0.1","1","25","105","15","9","15","0.03828942850403681"
"5","25","0","5000","0.1","1","25","105","15","9","19","0.026478713811506703"
"3","25","0","5000","0.1","1","25","105","15","9","17","0.030217953595330707"
"7","25","0","5000","0.1","1","25","105","15","9","20","0.02651398268176269"
"9","25","0","5000","0.1","1","25","105","15","9","27","0.024425418550345905"
"1","25","0","5000","0.1","1","25","105","15","9","16","0.03230653329237583"
"5","25","0","5000","0.1","1","25","105","15","9","20","0.0315531319457623"
"6","25","0","5000","0.1","1","25","105","15","9","30","0.03015388497124919"
"7","25","0","5000","0.1","1","25","105","15","9","21","0.028969437191157632"
"2","25","0","5000","0.1","1","25","105","15","9","16","0.03771495104946367"
"4","25","0","5000","0.1","1","25","105","15","9","14","0.03762360236917477"
"8","25","0","5000","0.1","1","25","105","15","9","16","0.03588596773275385"
"9","25","0","5000","0.1","1","25","105","15","9","28","0.021750331923796454"
"3","25","0","5000","0.1","1","25","105","15","9","18","0.02736294169907043"
"5","25","0","5000","0.1","1","25","105","15","9","21","0.029741040189108253"
"1","25","0","5000","0.1","1","25","105","15","9","17","0.030102232410510046"
"2","25","0","5000","0.1","1","25","105","15","9","17","0.036658008654095874"
