"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor-model-10-4-2.nlogo"
"Figure 10.1.2"
"04/22/2025 02:27:19:289 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-19","19","-19","19"
"[run number]","investors-n","wealth-start","profit-mean","risk-of-failing-max","decision-time-horizon","sensing-radius","investors-color","businesses-color","failed-businesses-color","[step]","mean [wealth] of investors"
"2","25","0","5000","0.1","5","0","25","105","45","9","27031.097440489335"
"7","25","0","5000","0.1","5","0","25","105","45","11","37111.805266601885"
"3","25","0","5000","0.1","5","0","25","105","45","8","48358.98535833957"
"9","25","0","5000","0.1","5","0","25","105","45","11","26473.114693079704"
"6","25","0","5000","0.1","5","0","25","105","45","11","45023.31583276372"
"5","25","0","5000","0.1","5","0","25","105","45","9","35125.485921375184"
"8","25","0","5000","0.1","5","0","25","105","45","8","33011.71746157823"
"7","25","0","5000","0.1","5","0","25","105","45","12","39618.19871211291"
"1","25","0","5000","0.1","5","0","25","105","45","11","38913.532503874965"
"4","25","0","5000","0.1","5","0","25","105","45","8","28751.828822419564"
"5","25","0","5000","0.1","5","0","25","105","45","10","35785.67552399742"
"3","25","0","5000","0.1","5","0","25","105","45","9","53616.065064427006"
"2","25","0","5000","0.1","5","0","25","105","45","10","26209.014122349166"
"8","25","0","5000","0.1","5","0","25","105","45","9","34013.39297271275"
"9","25","0","5000","0.1","5","0","25","105","45","12","25991.14873004302"
"6","25","0","5000","0.1","5","0","25","105","45","12","49116.344544833155"
"7","25","0","5000","0.1","5","0","25","105","45","13","42919.71527145566"
"5","25","0","5000","0.1","5","0","25","105","45","11","39364.24307639716"
"4","25","0","5000","0.1","5","0","25","105","45","9","29470.70736552535"
"3","25","0","5000","0.1","5","0","25","105","45","10","55988.0938038253"
"1","25","0","5000","0.1","5","0","25","105","45","12","42451.1263678636"
"9","25","0","5000","0.1","5","0","25","105","45","13","28157.07779087993"
"2","25","0","5000","0.1","5","0","25","105","45","11","28829.91553458408"
"5","25","0","5000","0.1","5","0","25","105","45","12","42942.81062879689"
"8","25","0","5000","0.1","5","0","25","105","45","10","25576.328575258143"
"6","25","0","5000","0.1","5","0","25","105","45","13","49468.317872156964"
"7","25","0","5000","0.1","5","0","25","105","45","14","39343.82125066496"
"4","25","0","5000","0.1","5","0","25","105","45","10","32745.23040613928"
"5","25","0","5000","0.1","5","0","25","105","45","13","46521.37818119664"
"3","25","0","5000","0.1","5","0","25","105","45","11","59022.315447589324"
"6","25","0","5000","0.1","5","0","25","105","45","14","50955.74222961287"
"5","25","0","5000","0.1","5","0","25","105","45","14","50099.94573359638"
"2","25","0","5000","0.1","5","0","25","105","45","12","31450.816946818995"
"9","25","0","5000","0.1","5","0","25","105","45","14","20983.361075379657"
"1","25","0","5000","0.1","5","0","25","105","45","13","45988.72023185224"
"4","25","0","5000","0.1","5","0","25","105","45","11","33114.94314867582"
"7","25","0","5000","0.1","5","0","25","105","45","15","42154.09419714103"
"3","25","0","5000","0.1","5","0","25","105","45","12","64220.72816488639"
"5","25","0","5000","0.1","5","0","25","105","45","15","50336.91615258306"
"9","25","0","5000","0.1","5","0","25","105","45","15","22482.172580763916"
"2","25","0","5000","0.1","5","0","25","105","45","13","30227.269619431732"
"8","25","0","5000","0.1","5","0","25","105","45","11","22240.466154916827"
"6","25","0","5000","0.1","5","0","25","105","45","15","54595.43810315665"
"1","25","0","5000","0.1","5","0","25","105","45","14","47801.61014337114"
"5","25","0","5000","0.1","5","0","25","105","45","16","47171.891423545014"
"9","25","0","5000","0.1","5","0","25","105","45","16","20095.5333017649"
"3","25","0","5000","0.1","5","0","25","105","45","13","63404.4300485049"
"2","25","0","5000","0.1","5","0","25","105","45","14","32552.444205541873"
"7","25","0","5000","0.1","5","0","25","105","45","16","44964.367143617084"
"4","25","0","5000","0.1","5","0","25","105","45","12","36125.39252582817"
"6","25","0","5000","0.1","5","0","25","105","45","16","57106.398386996436"
"9","25","0","5000","0.1","5","0","25","105","45","17","15564.338451687654"
"1","25","0","5000","0.1","5","0","25","105","45","15","51216.01086789765"
"8","25","0","5000","0.1","5","0","25","105","45","12","24262.32671445472"
"5","25","0","5000","0.1","5","0","25","105","45","17","49561.448991788886"
"3","25","0","5000","0.1","5","0","25","105","45","14","65057.25019248493"
"4","25","0","5000","0.1","5","0","25","105","45","13","39135.84190298051"
"7","25","0","5000","0.1","5","0","25","105","45","17","47774.64009009316"
"2","25","0","5000","0.1","5","0","25","105","45","15","30988.122702671877"
"5","25","0","5000","0.1","5","0","25","105","45","18","52476.82834424705"
"6","25","0","5000","0.1","5","0","25","105","45","17","57716.95355775988"
"9","25","0","5000","0.1","5","0","25","105","45","18","14766.69576959175"
"8","25","0","5000","0.1","5","0","25","105","45","13","26284.18727399262"
"4","25","0","5000","0.1","5","0","25","105","45","14","38612.494490807636"
"7","25","0","5000","0.1","5","0","25","105","45","18","50584.913036569225"
"3","25","0","5000","0.1","5","0","25","105","45","15","69704.19663480528"
"1","25","0","5000","0.1","5","0","25","105","45","16","54101.36716110303"
"5","25","0","5000","0.1","5","0","25","105","45","19","55392.20769670523"
"6","25","0","5000","0.1","5","0","25","105","45","18","61112.06847292223"
"4","25","0","5000","0.1","5","0","25","105","45","15","40454.82126232889"
"7","25","0","5000","0.1","5","0","25","105","45","19","50740.058865706604"
"9","25","0","5000","0.1","5","0","25","105","45","19","14474.533929579944"
"3","25","0","5000","0.1","5","0","25","105","45","16","74351.14307712563"
"2","25","0","5000","0.1","5","0","25","105","45","16","33053.99754951666"
"4","25","0","5000","0.1","5","0","25","105","45","16","41900.524790058094"
"8","25","0","5000","0.1","5","0","25","105","45","14","28306.04783353051"
"7","25","0","5000","0.1","5","0","25","105","45","20","46143.18214252582"
"6","25","0","5000","0.1","5","0","25","105","45","19","53704.85554588059"
"5","25","0","5000","0.1","5","0","25","105","45","20","44171.325641711184"
"4","25","0","5000","0.1","5","0","25","105","45","17","44519.307589436736"
"9","25","0","5000","0.1","5","0","25","105","45","20","15236.351504820996"
"3","25","0","5000","0.1","5","0","25","105","45","17","78998.08951944597"
"2","25","0","5000","0.1","5","0","25","105","45","17","35119.87239636146"
"7","25","0","5000","0.1","5","0","25","105","45","21","48450.341249652105"
"8","25","0","5000","0.1","5","0","25","105","45","15","30327.9083930684"
"1","25","0","5000","0.1","5","0","25","105","45","17","57482.70260867198"
